"16777216","16777471","DCH","AU","Australia","Queensland","Brisbane","APNIC and CloudFlare DNS Resolver Project","cloudflare.com","CDN","13335","CloudFlare Inc","1","-"
"16905450","16905450","RES","TH","Thailand","Buri Ram","Buriram","TOT Public Company Limited","tot.co.th","ISP/MOB","23969","TOT Public Company Limited","15","-"
"16961070","16961070","RES","TH","Thailand","Phetchabun","Lom Sak","TOT Public Company Limited","tot.co.th","ISP/MOB","23969","TOT Public Company Limited","9","-"
"17090528","17090528","RES","TH","Thailand","Nakhon Ratchasima","Chok Chai","TOT Public Company Limited","tot.co.th","ISP/MOB","23969","TOT Public Company Limited","17","-"
"17484426","17484426","RES","TH","Thailand","Prachuap Khiri Khan","Hua Hin","TOT Public Company Limited","tot.co.th","ISP/MOB","23969","TOT Public Company Limited","20","-"
"17497850","17497850","RES","TH","Thailand","Kanchanaburi","Tha Maka","TOT Public Company Limited","tot.co.th","ISP/MOB","23969","TOT Public Company Limited","23","-"
"17805757","17806034","DCH","CN","China","Shanghai","Shanghai","Tencent Cloud Computing (Beijing) Co. Ltd.","tencent.com","DCH","45090","Shenzhen Tencent Computer Systems Company Limited","1","-"
"18132384","18132384","RES","TH","Thailand","Chanthaburi","Khao Khitchakut","TOT Public Company Limited","tot.co.th","ISP/MOB","23969","TOT Public Company Limited","25","-"
"18150397","18150397","RES","TH","Thailand","Maha Sarakham","Kantharawichai","TOT Public Company Limited","tot.co.th","ISP/MOB","23969","TOT Public Company Limited","8","-"
"18579541","18579586","DCH","CN","China","Nei Mongol","Tongliao","China Unicom Innermongolia Province Network","chinaunicom.com","DCH","4837","China Unicom China169 Backbone","1","-"
"18902230","18902230","RES","MY","Malaysia","Perak","Ipoh","TM Technology Services Sdn. Bhd.","webe.com.my","ISP/MOB","4788","TM Technology Services Sdn. Bhd.","13","-"
"19224641","19224641","RES","PH","Philippines","Laguna","Calamba","Globe Telecom Inc","globe.com.ph","ISP/MOB","4775","Globe Telecoms","5","-"
"19291623","19291623","RES","IN","India","Gujarat","Morbi","Vodafone Essar Limited","vodafone.in","ISP/MOB","38266","Vodafone Idea Ltd","11","-"
"19309597","19309597","RES","IN","India","Gujarat","Sisodra","Vodafone Essar Limited","vodafone.in","ISP/MOB","38266","Vodafone Idea Ltd","7","-"
"19344155","19344155","RES","IN","India","Kerala","Nadapuram","Vodafone Essar Limited","vodafone.in","ISP/MOB","38266","Vodafone Idea Ltd","5","-"
"19363270","19363270","RES","IN","India","Kerala","Palackattumala","Vodafone Essar Limited","vodafone.in","ISP/MOB","38266","Vodafone Idea Ltd","25","-"
"19377160","19377160","RES","IN","India","Karnataka","Bengaluru","Vodafone Essar Limited","vodafone.in","ISP/MOB","38266","Vodafone Idea Ltd","23","-"
"19457199","19457199","RES","AU","Australia","New South Wales","Sydney","SingTel Optus Pty Ltd","optus.com.au","ISP/MOB","4804","Microplex Pty Ltd","2","-"
"19799175","19799176","RES","TH","Thailand","Krung Thep Maha Nakhon","Bangkok","Total Access Communication PLC","dtac.co.th","ISP/MOB","24378","Total Access Communication PLC","9","-"
"19857694","19857694","RES","TH","Thailand","Phra Nakhon Si Ayutthaya","Wang Noi","Total Access Communication PLC","dtac.co.th","ISP/MOB","24378","Total Access Communication PLC","4","-"
"19894472","19894472","RES","TH","Thailand","Nonthaburi","Mueang Nonthaburi","Total Access Communication PLC","dtac.co.th","ISP/MOB","24378","Total Access Communication PLC","6","-"
"20195604","20195604","RES","VN","Viet Nam","Bac Ninh","Vinh Phuc","FPT Broadband Service","fpt.com.vn","ISP","18403","FPT Telecom Company","21","-"
"20232588","20232588","RES","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","FPT Telecom Company","fpt.com.vn","ISP","18403","FPT Telecom Company","25","-"
"20260224","20260224","RES","VN","Viet Nam","Ha Noi","Hanoi","FPT Broadband Service","fpt.com.vn","ISP","18403","FPT Telecom Company","8","-"
"20278757","20278757","RES","VN","Viet Nam","Ha Noi","Hanoi","FPT Broadband Service","fpt.com.vn","ISP","18403","FPT Telecom Company","8","-"
"20305795","20305795","RES","VN","Viet Nam","Bac Giang","Bac Giang","FPT Broadband Service","fpt.com.vn","ISP","18403","FPT Telecom Company","27","-"
"20348366","20348366","RES","VN","Viet Nam","Quang Binh","Dong Hoi","FPT Broadband Service","fpt.com.vn","ISP","18403","FPT Telecom Company","11","-"
"20370404","20370404","RES","VN","Viet Nam","Bac Giang","Thang","FPT Broadband Service","fpt.com.vn","ISP","18403","FPT Telecom Company","23","-"
"20391821","20391821","RES","VN","Viet Nam","Khanh Hoa","Nha Trang","FPT Broadband Service","fpt.com.vn","ISP","18403","FPT Telecom Company","16","-"
"20415353","20415353","RES","VN","Viet Nam","Thai Nguyen","Thai Nguyen","FPT Broadband Service","fpt.com.vn","ISP","18403","FPT Telecom Company","3","-"
"20437947","20437947","RES","VN","Viet Nam","Ha Noi","Hanoi","FPT Broadband Service","fpt.com.vn","ISP","18403","FPT Telecom Company","23","-"
"21003113","21003113","RES","HK","Hong Kong","Hong Kong","Hong Kong","Hong Kong Telecommunications (HKT) Limited","netvigator.com","ISP/MOB","4760","HKT Limited","22","-"
"21749866","21749866","RES","JP","Japan","Niigata","Niigata","NTT DoCoMo Inc.","nttdocomo.com","ISP/MOB","9605","NTT DoCoMo Inc.","4","-"
"22826834","22826901","DCH","CN","China","Beijing","Beijing","Huawei Public Cloud Service","huawei.com","DCH","55990","Huawei Cloud Service Data Center","1","-"
"24466287","24466546","DCH","CN","China","Beijing","Beijing","Tencent Cloud Computing (Beijing) Co. Ltd.","tencent.com","DCH","45090","Shenzhen Tencent Computer Systems Company Limited","1","-"
"26021432","26021432","RES","AU","Australia","Queensland","Brisbane","Telstra Limited","telstra.com.au","ISP/MOB","1221","Telstra Limited","20","-"
"26346152","26346152","RES","AU","Australia","Queensland","Brisbane","Telstra Limited","telstra.com.au","ISP/MOB","1221","Telstra Limited","21","-"
"27144027","27144027","RES","AU","Australia","New South Wales","Sydney","Telstra Limited","telstra.com.au","ISP/MOB","1221","Telstra Limited","1","-"
"27362999","27362999","RES","TW","Taiwan (Province of China)","Taipei","Taipei","Chunghwa Telecom Data Communication Business Group","hinet.net","ISP","3462","Data Communication Business Group","29","-"
"27536489","27536489","RES","TW","Taiwan (Province of China)","Taoyuan","Taoyuan","Chunghwa Telecom Data Communication Business Group","hinet.net","ISP","3462","Data Communication Business Group","4","-"
"27813616","27813616","RES","TW","Taiwan (Province of China)","Taichung","Taichung","Chunghwa Telecom Data Communication Business Group","hinet.net","ISP","3462","Data Communication Business Group","5","-"
"27969727","27969727","RES","TW","Taiwan (Province of China)","Changhua","Changhua","Chunghwa Telecom Data Communication Business Group","hinet.net","ISP","3462","Data Communication Business Group","24","-"
"28118502","28118502","RES","TW","Taiwan (Province of China)","Tainan","Tainan","Chunghwa Telecom Data Communication Business Group","hinet.net","ISP","3462","Data Communication Business Group","26","-"
"28262556","28262556","RES","TW","Taiwan (Province of China)","Kaohsiung","Kaohsiung","Chunghwa Telecom Data Communication Business Group","hinet.net","ISP","3462","Data Communication Business Group","14","-"
"28477152","28477152","RES","PS","Palestine, State of","Nablus","Nablus","Palestine Telecommunications Company","paltel.net","ISP/MOB","12975","Palestine Telecommunications Company (Paltel)","19","-"
