"281470698520576","281470698520831","DCH","AU","Australia","Queensland","Brisbane","APNIC and CloudFlare DNS Resolver Project","cloudflare.com","CDN","13335","CloudFlare Inc","1","-","-","0"
"281470698648810","281470698648810","RES","TH","Thailand","Buri Ram","Buriram","TOT Public Company Limited","tot.co.th","ISP/MOB","23969","TOT Public Company Limited","15","-","-","46"
"281470698704430","281470698704430","RES","TH","Thailand","Phetchabun","Lom Sak","TOT Public Company Limited","tot.co.th","ISP/MOB","23969","TOT Public Company Limited","9","-","-","52"
"281470698833888","281470698833888","RES","TH","Thailand","Nakhon Ratchasima","Chok Chai","TOT Public Company Limited","tot.co.th","ISP/MOB","23969","TOT Public Company Limited","17","-","-","44"
"281470699227786","281470699227786","RES","TH","Thailand","Prachuap Khiri Khan","Hua Hin","TOT Public Company Limited","tot.co.th","ISP/MOB","23969","TOT Public Company Limited","20","-","-","41"
"281470699241210","281470699241210","RES","TH","Thailand","Kanchanaburi","Tha Maka","TOT Public Company Limited","tot.co.th","ISP/MOB","23969","TOT Public Company Limited","23","-","-","38"
"281470699549117","281470699549394","DCH","CN","China","Shanghai","Shanghai","Tencent Cloud Computing (Beijing) Co. Ltd.","tencent.com","DCH","45090","Shenzhen Tencent Computer Systems Company Limited","1","-","-","3"
"281470699875744","281470699875744","RES","TH","Thailand","Chanthaburi","Khao Khitchakut","TOT Public Company Limited","tot.co.th","ISP/MOB","23969","TOT Public Company Limited","25","-","-","36"
"281470699893757","281470699893757","RES","TH","Thailand","Maha Sarakham","Kantharawichai","TOT Public Company Limited","tot.co.th","ISP/MOB","23969","TOT Public Company Limited","8","-","-","53"
"281470700322901","281470700322946","DCH","CN","China","Nei Mongol","Tongliao","China Unicom Innermongolia Province Network","chinaunicom.com","DCH","4837","China Unicom China169 Backbone","1","-","-","3"
"281470700645590","281470700645590","RES","MY","Malaysia","Perak","Ipoh","TM Technology Services Sdn. Bhd.","webe.com.my","ISP/MOB","4788","TM Technology Services Sdn. Bhd.","13","-","-","48"
"281470700968001","281470700968001","RES","PH","Philippines","Laguna","Calamba","Globe Telecom Inc","globe.com.ph","ISP/MOB","4775","Globe Telecoms","5","-","-","56"
