"16777216","16777471","DCH","AU","Australia","Queensland","Brisbane"
"17814206","17814206","PUB","CN","China","Shanghai","Shanghai"
"21494016","21494271","DCH","CN","China","Shanxi","Yuncheng"
"27521902","27521902","VPN","TW","Taiwan (Province of China)","Taipei","Taipei"
"34653952","34654207","DCH","ZA","South Africa","Western Cape","Cape Town"
"35095035","35095035","DCH","FR","France","Ile-de-France","Paris"
"35280751","35280751","PUB","FI","Finland","Uusimaa","Helsinki"
"35326114","35326146","DCH","NL","Netherlands (Kingdom of the)","Noord-Holland","Amsterdam"
"35353602","35353605","VPN","ID","Indonesia","Bali","Denpasar"
"35374767","35374767","PUB","GB","United Kingdom of Great Britain and Northern Ireland","England","Saint Albans"
"37262377","37262377","DCH","NL","Netherlands (Kingdom of the)","Noord-Holland","Amsterdam"
"37295173","37295173","DCH","US","United States of America","Alabama","Abbeville"
"37363241","37363241","DCH","GB","United Kingdom of Great Britain and Northern Ireland","England","London"
"37426573","37426573","DCH","AT","Austria","Wien","Vienna"
"37476587","37476587","PUB","NL","Netherlands (Kingdom of the)","Noord-Holland","Amsterdam"
"47155520","47155535","DCH","DE","Germany","Nordrhein-Westfalen","Detmold"
"47185656","47185663","DCH","DE","Germany","Rheinland-Pfalz","Nauheim"
"50331323","50331323","DCH","BE","Belgium","Brussels Hoofdstedelijk Gewest","Brussels"
"50379156","50379939","DCH","SG","Singapore","Singapore","Singapore"
"50473216","50473279","DCH","US","United States of America","Washington","Seattle"
"50795099","50795364","DCH","IN","India","Maharashtra","Mumbai"
"50866204","50866204","PUB","GB","United Kingdom of Great Britain and Northern Ireland","England","London"
"50890295","50890313","DCH","GB","United Kingdom of Great Britain and Northern Ireland","England","London"
"50902196","50902196","PUB","GB","United Kingdom of Great Britain and Northern Ireland","England","London"
"50926120","50926153","DCH","GB","United Kingdom of Great Britain and Northern Ireland","England","London"
"50992999","50993003","DCH","GB","United Kingdom of Great Britain and Northern Ireland","England","London"
"51040108","51040108","PUB","GB","United Kingdom of Great Britain and Northern Ireland","England","London"
