"16777216","16777471","DCH","AU","Australia","Queensland","Brisbane","APNIC and CloudFlare DNS Resolver Project"
"17804048","17804501","DCH","CN","China","Shanghai","Shanghai","Tencent Cloud Computing (Beijing) Co. Ltd."
"20349464","20349464","VPN","VN","Viet Nam","Ha Noi","Hanoi","FPT Broadband Service"
"24482170","24482657","DCH","CN","China","Beijing","Beijing","Tencent Cloud Computing (Beijing) Co. Ltd."
"33606977","33607899","DCH","US","United States of America","Virginia","Redwood","Oracle Svenska AB"
"34961894","34961896","DCH","NL","Netherlands (Kingdom of the)","Noord-Holland","Amsterdam","Akamai International BV"
"35337216","35337265","DCH","FI","Finland","Uusimaa","Helsinki","Xorek.Cloud Helsinki"
"37272593","37272593","DCH","US","United States of America","Texas","Dallas","Clouvider Limited"
"37295872","37295874","DCH","GB","United Kingdom of Great Britain and Northern Ireland","England","London","Internet Utilities Europe and Asia Limited"
"37407089","37407089","PUB","US","United States of America","California","Los Angeles","Kuroit LLC"
"37464403","37464409","DCH","NL","Netherlands (Kingdom of the)","Zuid-Holland","Naaldwijk","WorldStream B.V."
"42511931","42511931","VPN","ES","Spain","Catalunya","Barcelona","Telefonica de Espana Sau"
"47179488","47179495","DCH","DE","Germany","Hessen","Eschborn","Karl Roll"
"50330893","50330893","DCH","US","United States of America","California","Los Angeles","Arelion Sweden AB"
"50376756","50376768","DCH","SG","Singapore","Singapore","Singapore","Amazon Data Services Singapore"
"50472136","50472151","DCH","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc."
"50801968","50802006","DCH","IN","India","Maharashtra","Mumbai","Amazon Data Services India"
"50878381","50878381","PUB","GB","United Kingdom of Great Britain and Northern Ireland","England","London","Amazon Data Services UK"
"50894434","50894436","DCH","GB","United Kingdom of Great Britain and Northern Ireland","England","London","Amazon Data Services UK"
"50911000","50911000","PUB","GB","United Kingdom of Great Britain and Northern Ireland","England","London","Amazon Data Services UK"
"50970423","50970423","PUB","GB","United Kingdom of Great Britain and Northern Ireland","England","London","Amazon Data Services UK"
"51038160","51038169","DCH","GB","United Kingdom of Great Britain and Northern Ireland","England","London","Amazon Data Services UK"
"51136774","51136774","PUB","US","United States of America","Ohio","Columbus","Amazon Technologies Inc."
"51173376","51174399","PUB","US","United States of America","Ohio","Columbus","Amazon Technologies Inc."
"51270734","51270734","PUB","US","United States of America","Ohio","Columbus","Amazon Technologies Inc."
"51313656","51313656","SES","US","United States of America","Ohio","Columbus","Amazon Technologies Inc."
"51323524","51323546","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc."
"51356975","51356976","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc."
"51368587","51368612","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc."
"51386223","51386232","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc."
"51401602","51401602","PUB","US","United States of America","Ohio","Columbus","Amazon Technologies Inc."
"51426646","51426646","PUB","US","United States of America","Ohio","Columbus","Amazon Technologies Inc."
"51459867","51459874","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc."
"51484022","51484032","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc."
"51498852","51498856","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc."
"51591041","51591103","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc."
"51633812","51633835","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc."
"51713468","51713468","SES","US","United States of America","Ohio","Columbus","Amazon Technologies Inc."
"51749397","51749401","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc."
"51790394","51790457","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc."
"51830157","51830188","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc."
"51867892","51867892","PUB","US","United States of America","Ohio","Columbus","Amazon Technologies Inc."
"51993313","51993313","PUB","AU","Australia","New South Wales","Sydney","Amazon Corporate Services Pty Ltd"
"52047293","52047293","PUB","AU","Australia","New South Wales","Sydney","Amazon Corporate Services Pty Ltd"
"52131722","52131722","PUB","AU","Australia","New South Wales","Sydney","Amazon Corporate Services Pty Ltd"
"52166656","52166675","DCH","AE","United Arab Emirates","Dubayy","Dubai","Amazon Technologies Inc."
"52222489","52222494","DCH","AE","United Arab Emirates","Dubayy","Dubai","Amazon Technologies Inc."
"52293824","52293831","DCH","AE","United Arab Emirates","Dubayy","Dubai","Amazon Technologies Inc."
"52606284","52606284","PUB","KR","Korea (the Republic of)","Seoul-teukbyeolsi","Seoul","Amazon Technologies Inc."
"52661601","52661639","DCH","KR","Korea (the Republic of)","Seoul-teukbyeolsi","Seoul","Amazon Technologies Inc."
"52705946","52705991","DCH","KR","Korea (the Republic of)","Seoul-teukbyeolsi","Seoul","Amazon Technologies Inc."
"52768304","52768369","DCH","KR","Korea (the Republic of)","Seoul-teukbyeolsi","Seoul","Amazon Technologies Inc."
"52865159","52865203","DCH","KR","Korea (the Republic of)","Seoul-teukbyeolsi","Seoul","Amazon Technologies Inc."
"52947041","52947062","DCH","KR","Korea (the Republic of)","Seoul-teukbyeolsi","Seoul","Amazon Technologies Inc."
"54581132","54581166","DCH","DE","Germany","Hessen","Frankfurt am Main","A100 ROW GmbH"
"54758046","54758107","DCH","DE","Germany","Hessen","Frankfurt am Main","A100 ROW GmbH"
"54914793","54914860","DCH","DE","Germany","Hessen","Frankfurt am Main","A100 ROW GmbH"
"55006181","55006218","DCH","DE","Germany","Hessen","Frankfurt am Main","A100 ROW GmbH"
"55134743","55134936","DCH","DE","Germany","Hessen","Frankfurt am Main","A100 ROW GmbH"
"55303535","55303700","DCH","DE","Germany","Hessen","Frankfurt am Main","A100 ROW GmbH"
"55482229","55482555","DCH","DE","Germany","Hessen","Frankfurt am Main","A100 ROW GmbH"
"55584114","55584114","PUB","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc."
"55649695","55649695","PUB","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc."
"55731863","55731863","PUB","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc."
"55816500","55816500","PUB","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc."
"55904951","55904951","PUB","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc."
"55981877","55981877","PUB","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc."
"56059457","56059457","PUB","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc."
"56121337","56121337","PUB","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc."
"56186823","56186823","PUB","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc."
"56274498","56274498","PUB","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc."
"56353786","56353794","DCH","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc."
"56473649","56473649","PUB","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc."
"56593043","56593043","PUB","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc."
