"281470698520576","281470698520831","DCH","AU","Australia","Queensland","Brisbane","APNIC and CloudFlare DNS Resolver Project"
"281470699525865","281470699526252","DCH","CN","China","Shanghai","Shanghai","Tencent Cloud Computing (Beijing) Co. Ltd."
"281470702022047","281470702022047","VPN","VN","Viet Nam","Ha Noi","Hanoi","FPT Broadband Service"
"281470704782008","281470704782292","DCH","CN","China","Guizhou","Guiyang","Huawei Public Cloud Service"
"281470711969437","281470711969535","DCH","CN","China","Guizhou","Zunyi","ChinaNet Guizhou Province Network"
"281470716597248","281470716597503","DCH","TR","Turkiye","Istanbul","Istanbul","Akamai International B.V."
"281470718973754","281470718973756","DCH","US","United States of America","Washington","Seattle","Isomedia Inc."
"281470718993849","281470718993849","PUB","PL","Poland","Mazowieckie","Warsaw","RapidSeedbox Ltd"
"281470719031193","281470719031193","PUB","DE","Germany","Bayern","Wald","Tom Gewiese"
"281470719053520","281470719053520","PUB","US","United States of America","California","Los Angeles","ClearDocks LLC"
"281470719119597","281470719119675","DCH","DE","Germany","Brandenburg","Karlsruhe","Contabo GmbH"
"281470719174281","281470719174283","DCH","JP","Japan","Tokyo","Tokyo","DataWeb Global Group B.V."
"281470722887680","281470722887687","DCH","IT","Italy","Lombardia","Milan","Puntozero S.C.A R.L."
"281470728914064","281470728914071","DCH","DE","Germany","Hessen","Wiesbaden","EVIM Evangelischer Verein"
"281470732073368","281470732073368","DCH","GB","United Kingdom of Great Britain and Northern Ireland","England","London","Arelion Sweden AB"
"281470732158076","281470732158076","PUB","SG","Singapore","Singapore","Singapore","Amazon Data Services Singapore"
"281470732497635","281470732497635","PUB","IN","India","Maharashtra","Mumbai","Amazon Data Services India"
"281470732623012","281470732623012","PUB","GB","United Kingdom of Great Britain and Northern Ireland","England","London","Amazon Data Services UK"
"281470732645443","281470732645443","PUB","GB","United Kingdom of Great Britain and Northern Ireland","England","London","Amazon Data Services UK"
"281470732735804","281470732735813","DCH","GB","United Kingdom of Great Britain and Northern Ireland","England","London","Amazon Data Services UK"
"281470732851362","281470732851362","PUB","GB","United Kingdom of Great Britain and Northern Ireland","England","London","Amazon Data Services UK"
"281470732991399","281470732991399","PUB","US","United States of America","Ohio","Columbus","Amazon Technologies Inc."
"281470733046813","281470733046813","PUB","US","United States of America","Ohio","Columbus","Amazon Technologies Inc."
"281470733093214","281470733093214","SES","US","United States of America","Ohio","Columbus","Amazon Technologies Inc."
"281470733113077","281470733113101","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc."
"281470733142947","281470733142947","SES","US","United States of America","Ohio","Columbus","Amazon Technologies Inc."
"281470733190241","281470733190241","SES","US","United States of America","Ohio","Columbus","Amazon Technologies Inc."
"281470733229023","281470733229032","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc."
"281470733309622","281470733309622","SES","US","United States of America","Ohio","Columbus","Amazon Technologies Inc."
"281470733395086","281470733395411","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc."
"281470733491890","281470733491908","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc."
"281470733556582","281470733556655","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc."
"281470733627500","281470733627500","PUB","US","United States of America","Ohio","Columbus","Amazon Technologies Inc."
"281470734028231","281470734028650","DCH","AE","United Arab Emirates","Dubayy","Dubai","Amazon Technologies Inc."
"281470734560808","281470734560808","PUB","KR","Korea (the Republic of)","Seoul-teukbyeolsi","Seoul","Amazon Technologies Inc."
