"281470698520576","281470698520831","DCH","AU","Australia","Queensland","Brisbane","APNIC and CloudFlare DNS Resolver Project","cloudflare.com"
"281470699551830","281470699551830","PUB","CN","China","Shanghai","Shanghai","Tencent Cloud Computing (Beijing) Co. Ltd.","tencent.com"
"281470703209472","281470703209727","DCH","CN","China","Shanxi","Taiyuan","ChinaNet Shanxi Province Network","chinatelecom.com.cn"
"281470709185588","281470709185588","VPN","TW","Taiwan (Province of China)","Taipei","Taipei","Chunghwa Telecom Data Communication Business Group","hinet.net"
"281470716392704","281470716392959","DCH","IT","Italy","Lazio","Rome","Akamai International BV","akamai.com"
"281470716838018","281470716838112","DCH","BE","Belgium","Brussels Hoofdstedelijk Gewest","Brussels","Akamai International BV","akamai.com"
"281470717023778","281470717023778","PUB","DE","Germany","Hessen","Frankfurt am Main","Play2Go.Cloud - Cheap and Reliable Hosting","scaleblade.com"
"281470717069205","281470717069226","DCH","NL","Netherlands (Kingdom of the)","Noord-Holland","Amsterdam","Aurorix Networks Amsterdam.","antiddos.pw"
"281470717094317","281470717094366","DCH","BG","Bulgaria","Sofia (stolitsa)","Sofia","NetGrid Host Ltd","netgrid.host"
"281470717118088","281470717118088","PUB","GB","United Kingdom of Great Britain and Northern Ireland","England","Saint Albans","Internet Utilities Europe and Asia Limited","cyberassets.ae"
"281470719002880","281470719003135","DCH","US","United States of America","Texas","Houston","IPX - FZCO","iplir.com"
"281470719038473","281470719038473","DCH","US","United States of America","Alabama","Abbeville","Cyber Assets Fzco","cyberassets.ae"
"281470719102446","281470719102446","PUB","IT","Italy","Lombardia","Milan","Italy","interconnects.us"
"281470719169864","281470719169864","PUB","AT","Austria","Wien","Vienna","Black HOST Ltd.","black.host"
"281470719218696","281470719218696","PUB","IN","India","Telangana","Hyderabad","IPX - FZCO","iplir.com"
"281470728897032","281470728897039","DCH","DE","Germany","Hamburg","Hamburg","Spedition Mickeleit GmbH & Co. KG","vodafone-ip.de"
"281470728926320","281470728926335","DCH","DE","Germany","Berlin","Berlin","RPB Ruckert GmbH","vodafone-ip.de"
"281470732074525","281470732074525","DCH","BE","Belgium","Brussels Hoofdstedelijk Gewest","Brussels","Arelion Sweden AB","arelion.com"
"281470732120524","281470732120524","PUB","SG","Singapore","Singapore","Singapore","Amazon Data Services Singapore","amazon.com"
"281470732197607","281470732197607","PUB","SG","Singapore","Singapore","Singapore","Amazon Data Services Singapore","amazon.com"
"281470732524746","281470732526077","DCH","IN","India","Maharashtra","Mumbai","Amazon Data Services India","amazon.com"
"281470732605588","281470732605588","PUB","GB","United Kingdom of Great Britain and Northern Ireland","England","London","Amazon Data Services UK","amazon.com"
"281470732632610","281470732632611","DCH","GB","United Kingdom of Great Britain and Northern Ireland","England","London","Amazon Data Services UK","amazon.com"
"281470732643961","281470732643961","PUB","GB","United Kingdom of Great Britain and Northern Ireland","England","London","Amazon Data Services UK","amazon.com"
"281470732667938","281470732667969","DCH","GB","United Kingdom of Great Britain and Northern Ireland","England","London","Amazon Data Services UK","amazon.com"
"281470732734720","281470732734847","PUB","GB","United Kingdom of Great Britain and Northern Ireland","England","London","Amazon Data Services UK","amazon.com"
"281470732781060","281470732781060","DCH","GB","United Kingdom of Great Britain and Northern Ireland","England","London","Amazon Data Services UK","amazon.com"
"281470732863970","281470732863970","PUB","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"281470732903783","281470732903839","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"281470733011302","281470733011302","PUB","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"281470733055454","281470733055467","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"281470733065138","281470733065191","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
