"16777216","16777471","DCH","AU","Australia","Queensland","Brisbane","APNIC and CloudFlare DNS Resolver Project","cloudflare.com","CDN","13335","CloudFlare Inc."
"17782505","17782892","DCH","CN","China","Shanghai","Shanghai","Tencent Cloud Computing (Beijing) Co. Ltd.","tencent.com","DCH","45090","Shenzhen Tencent Computer Systems Company Limited"
"20278687","20278687","VPN","VN","Viet Nam","Ha Noi","Hanoi","FPT Broadband Service","fpt.com.vn","ISP","18403","FPT Telecom Company"
"23038648","23038932","DCH","CN","China","Guizhou","Guiyang","Huawei Public Cloud Service","huawei.com","DCH","55990","HWCSNET Huawei Cloud Service Data Center"
"30226077","30226175","DCH","CN","China","Guizhou","Zunyi","ChinaNet Guizhou Province Network","chinatelecom.com.cn","DCH","4134","Asia Pacific Network Information Centre"
"34853378","34853398","DCH","BE","Belgium","Brussels Hoofdstedelijk Gewest","Brussels","Akamai International BV","akamai.com","CDN","20940","Akamai International B.V."
"37230388","37230388","DCH","US","United States of America","Washington","Seattle","Isomedia Inc.","isomedia.com","DCH","10557","Connect Northwest Internet Services LLC"
"37250485","37250485","PUB","PL","Poland","Mazowieckie","Warsaw","RapidSeedbox Ltd","rapidseedbox.com","DCH","60781","Leaseweb Netherlands B.V."
"37287826","37287826","PUB","DE","Germany","Bayern","Wald","Tom Gewiese","threatoff.eu","DCH","215365","Tom Gewiese"
"37310154","37310154","PUB","US","United States of America","California","Los Angeles","ClearDocks LLC","hostroyale.com","DCH","203020","HostRoyale Technologies Pvt Ltd"
"37376130","37376130","PUB","DE","Germany","Brandenburg","Karlsruhe","Contabo GmbH","contabo.com","DCH","51167","Contabo GmbH"
"37430912","37430913","DCH","JP","Japan","Tokyo","Tokyo","DataWeb Global Group B.V.","datawebglobalgroup.com","DCH","39572","DataWeb Global Group B.V."
"41135508","41135511","DCH","IT","Italy","Lombardia","Milan","Costa Crociere S.p.A.","costa.it","DCH","3269","Telecom Italia S.p.A."
"47170568","47170575","DCH","DE","Germany","Sachsen","Chemnitz","FIRA FASSADEN SPEZIALTECHNIK GmbH","vodafone-ip.de","DCH","3209","Vodafone GmbH"
"50329996","50329996","DCH","IE","Ireland","Dublin","Dublin","Arelion Sweden AB","arelion.com","DCH","1299","Arelion Sweden AB"
"50413845","50413845","PUB","SG","Singapore","Singapore","Singapore","Amazon Data Services Singapore","amazon.com","DCH","16509","Amazon.com Inc."
"50753749","50753749","PUB","IN","India","Maharashtra","Mumbai","Amazon Data Services India","amazon.com","DCH","16509","Amazon.com Inc."
"50879619","50879619","PUB","GB","United Kingdom of Great Britain and Northern Ireland","England","London","Amazon Data Services UK","amazon.com","DCH","16509","Amazon.com Inc."
"50901490","50901490","PUB","GB","United Kingdom of Great Britain and Northern Ireland","England","London","Amazon Data Services UK","amazon.com","DCH","16509","Amazon.com Inc."
"50992248","50992315","DCH","GB","United Kingdom of Great Britain and Northern Ireland","England","London","Amazon Data Services UK","amazon.com","DCH","16509","Amazon.com Inc."
"51107334","51107334","PUB","GB","United Kingdom of Great Britain and Northern Ireland","England","London","Amazon Data Services UK","amazon.com","DCH","16509","Amazon.com Inc."
"51245314","51245314","PUB","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com","DCH","16509","Amazon.com Inc."
"51300288","51300288","PUB","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com","DCH","16509","Amazon.com Inc."
"51349820","51349834","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com","DCH","16509","Amazon.com Inc."
"51369593","51369709","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com","DCH","16509","Amazon.com Inc."
"51398391","51398391","SES","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com","SES","16509","Amazon.com Inc."
"51446808","51446808","SES","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com","SES","16509","Amazon.com Inc."
"51485591","51485611","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com","DCH","16509","Amazon.com Inc."
"51566074","51566074","SES","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com","SES","16509","Amazon.com Inc."
"51651405","51651430","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com","DCH","16509","Amazon.com Inc."
"51748512","51748512","SES","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com","SES","16509","Amazon.com Inc."
