"281470698520576","281470698520831","DCH","AU","Australia","Queensland","Brisbane","APNIC and CloudFlare DNS Resolver Project","cloudflare.com","CDN","13335","CloudFlare Inc"
"281470699542056","281470699542744","DCH","CN","China","Shanghai","Shanghai","Tencent Cloud Computing (Beijing) Co. Ltd.","tencent.com","DCH","45090","Shenzhen Tencent Computer Systems Company Limited"
"281470703237376","281470703237631","DCH","CN","China","Shanxi","Yuncheng","ChinaNet Shanxi Province Network","chinatelecom.com.cn","DCH","4134","China Telecom"
"281470709171509","281470709171509","VPN","TW","Taiwan (Province of China)","Taipei","Taipei","Chunghwa Telecom Data Communication Business Group","hinet.net","ISP/MOB","3462","Data Communication Business Group"
"281470716361216","281470716361727","DCH","GB","United Kingdom of Great Britain and Northern Ireland","England","London","Akamai International BV","akamai.com","CDN","16625","Akamai Technologies Inc."
"281470716735488","281470716735743","DCH","SE","Sweden","Stockholms lan","Stockholm","Akamai International BV","akamai.com","CDN","20940","Akamai International B.V."
"281470717018058","281470717018060","DCH","DE","Germany","Hessen","Frankfurt am Main","Xorek.Cloud Frankfurt","xorek.cloud","DCH","215590","DpkgSoft International Limited"
"281470717038223","281470717038335","DCH","FI","Finland","Uusimaa","Helsinki","Individual Entrepreneur Anton Levin","vdska.ge","DCH","50053","Anton Levin"
"281470717074144","281470717074146","PUB","AM","Armenia","Erevan","Yerevan","H2.NEXUS Yerevan Network","h2.nexus","DCH","215730","H2Nexus Cloud Services - Fzco"
"281470717108623","281470717108624","VPN","CA","Canada","Ontario","Toronto","Ace Data Centers II LLC","acedatacenter.com","DCH","21859","Zenlayer Inc"
"281470717118331","281470717118331","DCH","US","United States of America","Utah","Orem","Ace Data Centers II LLC","acedatacenter.com","DCH","3257","GTT Communications Inc."
"281470718995712","281470718995724","DCH","TR","Turkiye","Trabzon","Trabzon","VDS Global Yazilim Arge Gelistirme Limited Sirketi","vdsturkiye.com","DCH","205463","Pembe Gul Isguzar Karagoz"
"281470719037815","281470719037815","VPN","GB","United Kingdom of Great Britain and Northern Ireland","England","London","Cyber Assets Fzco","cyberassets.ae","DCH","25369","Hydra Communications Ltd"
"281470719102326","281470719102326","VPN","IT","Italy","Lombardia","Milan","Italy","interconnects.us","DCH","204646","Web2Objects GmbH"
"281470719168340","281470719168340","PUB","RO","Romania","Bucuresti","Bucharest","Special Internet Operations SRL","specialinter.net","DCH","48955","Internet Resources Management SRL"
"281470719206299","281470719206300","PUB","PL","Poland","Mazowieckie","Warsaw","Global Connectivity Solutions LLP","globconnex.com","DCH","215540","Global Connectivity Solutions LLP"
"281470723051672","281470723051679","DCH","IT","Italy","Emilia-Romagna","Bologna","Cup 2000 SpA","lepida.net","DCH","3269","Telecom Italia S.p.A."
"281470728916472","281470728916479","DCH","DE","Germany","Bayern","Heilbronn","Stadt Heilbronn Grundschule Alt Bockingen","vodafone-ip.de","DCH","3209","Vodafone GmbH"
"281470732073372","281470732073372","DCH","BE","Belgium","Brussels Hoofdstedelijk Gewest","Brussels","Arelion Sweden AB","arelion.com","DCH","1299","Arelion Sweden AB"
"281470732099881","281470732099881","PUB","SG","Singapore","Singapore","Singapore","Amazon Data Services Singapore","amazon.com","DCH","16509","Amazon.com Inc."
"281470732170632","281470732170632","PUB","SG","Singapore","Singapore","Singapore","Amazon Data Services Singapore","amazon.com","DCH","16509","Amazon.com Inc."
"281470732491226","281470732491226","PUB","IN","India","Maharashtra","Mumbai","Amazon Data Services India","amazon.com","DCH","16509","Amazon.com Inc."
"281470732599073","281470732599073","PUB","IN","India","Maharashtra","Mumbai","Amazon Data Services India","amazon.com","DCH","16509","Amazon.com Inc."
"281470732629240","281470732629241","DCH","GB","United Kingdom of Great Britain and Northern Ireland","England","London","Amazon Data Services UK","amazon.com","DCH","16509","Amazon.com Inc."
"281470732639486","281470732639504","DCH","GB","United Kingdom of Great Britain and Northern Ireland","England","London","Amazon Data Services UK","amazon.com","DCH","16509","Amazon.com Inc."
"281470732653293","281470732653293","PUB","GB","United Kingdom of Great Britain and Northern Ireland","England","London","Amazon Data Services UK","amazon.com","DCH","16509","Amazon.com Inc."
"281470732708919","281470732708935","DCH","GB","United Kingdom of Great Britain and Northern Ireland","England","London","Amazon Data Services UK","amazon.com","DCH","16509","Amazon.com Inc."
"281470732766769","281470732766769","PUB","GB","United Kingdom of Great Britain and Northern Ireland","England","London","Amazon Data Services UK","amazon.com","DCH","16509","Amazon.com Inc."
"281470732803439","281470732803439","PUB","GB","United Kingdom of Great Britain and Northern Ireland","England","London","Amazon Data Services UK","amazon.com","DCH","16509","Amazon.com Inc."
"281470732902572","281470732902599","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com","DCH","16509","Amazon.com Inc."
"281470733010337","281470733010337","PUB","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com","DCH","16509","Amazon.com Inc."
"281470733056233","281470733056233","PUB","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com","DCH","16509","Amazon.com Inc."
"281470733069101","281470733069114","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com","DCH","16509","Amazon.com Inc."
"281470733104576","281470733104576","PUB","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com","DCH","16509","Amazon.com Inc."
